activity_id,start_date_local,start_date_utc,name,sport_type,trainer,commute,moving_time_sec,elapsed_time_sec,distance_m,distance_mi,total_elevation_gain_m,total_elevation_gain_ft,average_speed_mps,average_speed_mph,max_speed_mps,max_speed_mph,average_heartrate,max_heartrate,average_watts,weighted_average_watts,kilojoules,average_cadence,device_name,achievement_count,pr_count,suffer_score,calories,perceived_exertion,has_heartrate,has_run_segments
A0001,2026-05-14 4:05:28,2026-05-14T18:05:28Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,998,1002,3123.6,1.9409144556,0,0,3.13,7.0016222,3.26,7.2924244,151.2,162,,,,90.7,Zwift Run,,,,,,,TRUE
A0002,2026-05-14 3:04:25,2026-05-14T17:04:25Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,3494,3494,32568.4,20.2370592764,52,170.60368,9.321,20.85051774,11.28,25.2326832,129.4,145,129.5,131,452.6,100.8,Zwift,,,,,,,
A0003,2026-05-13 14:59:30,2026-05-14T04:59:30Z,Night Walk,Walk,FALSE,FALSE,1635,1635,2092.4,1.3001566804,26.8,87.926512,1.28,2.8632832,2.14,4.7870516,89.9,103,,,,,Apple Watch Ultra,,,,,,,
A0004,2026-05-13 9:40:31,2026-05-13T23:40:31Z,Afternoon Run,Run,FALSE,FALSE,3501,3504,9943.6,6.1786646756,281,921.91604,2.84,6.3529096,4.46,9.9767524,147.9,169,213.1,220,746.1,,Apple Watch Ultra,,,,,,,TRUE
A0005,2026-05-13 0:10:59,2026-05-13T14:10:59Z,Morning Swim,Swim,TRUE,FALSE,2940,2940,2080.3,1.2926380913,0,0,0.708,1.58375352,4.58,10.2451852,120.7,145,,,,,Apple Watch Ultra,,,,,,,
A0006,2026-05-12 14:39:14,2026-05-13T04:39:14Z,Outdoor Walk,Walk,FALSE,FALSE,1461,1479,2000.8,1.2432390968,27.7,90.879268,1.369,3.06237086,1.92,4.2949248,109.5,113,,,,54,,,,,,,,
A0007,2026-05-12 13:55:03,2026-05-13T03:55:03Z,Fitbod - Kettlebell Conditioning,WeightTraining,TRUE,FALSE,1983,1983,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0008,2026-05-12 2:33:29,2026-05-12T16:33:29Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,4348,4348,40614.9,25.2369210279,64,209.97376,9.341,20.89525654,13.94,31.1829436,133.3,168,134.7,164,585.7,98.8,Zwift,,,,,,,
A0009,2026-05-11 14:52:07,2026-05-12T04:52:07Z,Night Walk,Walk,FALSE,FALSE,1583,1583,2081.9,1.2936322849,28,91.86352,1.315,2.9415761,2.187,4.89218778,92.7,99,,,,,Apple Watch Ultra,,,,,,,
A0010,2026-05-11 12:28:07,2026-05-12T02:28:07Z,Fitbod - Sore in 6 mins - Chest,WeightTraining,TRUE,FALSE,440,440,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0011,2026-05-10 15:04:09,2026-05-11T05:04:09Z,Night Walk,Walk,FALSE,FALSE,1648,1673,2067.8,1.2848709538,28,91.86352,1.255,2.8073597,2.3,5.144962,83,97,,,,,Apple Watch Ultra,,,,,,,
A0012,2026-05-10 3:31:54,2026-05-10T17:31:54Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,7418,7456,64585.9,40.1318052689,99,324.80316,8.707,19.47703658,14.38,32.1671972,125.9,156,118.8,132,881.5,97.3,Zwift,,,,,,,
A0013,2026-05-09 14:50:02,2026-05-10T04:50:02Z,Night Walk,Walk,FALSE,FALSE,1761,1800,2061.7,1.2810805907,31.2,102.362208,1.171,2.61945674,1.767,3.95267298,79.1,93,,,,,Apple Watch Ultra,,,,,,,
A0014,2026-05-09 2:11:18,2026-05-09T16:11:18Z,Morning Swim,Swim,TRUE,FALSE,4718,4718,3360.4,2.0880551084,0,0,0.712,1.59270128,4.58,10.2451852,128.5,151,,,,,Apple Watch Ultra,,,,,,,
A0015,2026-05-08 14:26:48,2026-05-09T04:26:48Z,Night Walk,Walk,FALSE,FALSE,1562,1562,1979.2,1.2298174832,27,88.58268,1.267,2.83420298,2.173,4.86087062,86.6,100,,,,,Apple Watch Ultra,,,,,,,
A0016,2026-05-08 9:02:51,2026-05-08T23:02:51Z,Afternoon Walk,Walk,FALSE,FALSE,692,883,1044.9,0.6492705579,102.4,335.958016,1.51,3.3777794,2.633,5.88986302,102.7,118,,,,,Apple Watch Ultra,,,,,,,
A0017,2026-05-08 2:37:54,2026-05-08T16:37:54Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1794,1798,4705.1,2.9236126921,0,0,2.623,5.86749362,3.26,7.2924244,133.3,147,,,,87.5,Zwift Run,,,,,,,TRUE
A0018,2026-05-08 0:11:23,2026-05-08T14:11:23Z,Morning Swim,Swim,TRUE,FALSE,2922,2922,2011.7,1.2500120407,0,0,0.688,1.53901472,4.58,10.2451852,125.2,155,,,,,Apple Watch Ultra,,,,,,,
A0019,2026-05-07 14:50:31,2026-05-08T04:50:31Z,Night Walk,Walk,FALSE,FALSE,1659,1659,2062.1,1.2813291391,28.6,93.832024,1.243,2.78051642,2.02,4.5186188,91.6,107,,,,,Apple Watch Ultra,,,,,,,
A0020,2026-05-07 13:52:47,2026-05-08T03:52:47Z,Fitbod - Glute Mobility protocol,WeightTraining,TRUE,FALSE,2916,2916,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0021,2026-05-07 3:30:08,2026-05-07T17:30:08Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1157,1161,3231.4,2.0078982494,0,0,2.793,6.24777342,3.38,7.5608572,144.6,160,,,,86.4,Zwift Run,,,,,,,TRUE
A0022,2026-05-07 2:25:27,2026-05-07T16:25:27Z,Zwift - Pacer Group Ride with Miguel,VirtualRide,FALSE,FALSE,3637,3637,32628.9,20.2746522219,82,269.02888,8.971,20.06758874,15.72,35.1646968,124.4,138,116.7,118,424.5,97.9,Zwift,,,,,,,
A0023,2026-05-06 14:51:17,2026-05-07T04:51:17Z,Night Walk,Walk,FALSE,FALSE,1802,1802,2085.6,1.2959313576,28.6,93.832024,1.157,2.58813958,1.787,3.99741178,88.3,108,,,,,Apple Watch Ultra,,,,,,,
A0024,2026-05-06 9:54:51,2026-05-06T23:54:51Z,Afternoon Run,Run,FALSE,FALSE,3621,3670,10481.7,6.5130244107,292.6,959.973784,2.895,6.4759413,4.96,11.0952224,145.1,161,219.2,220,793.9,,Apple Watch Ultra,,,,,,,TRUE
A0025,2026-05-06 0:08:54,2026-05-06T14:08:54Z,Morning Swim,Swim,TRUE,FALSE,2483,2483,1440.2,0.8948985142,0,0,0.58,1.2974252,4.58,10.2451852,109.6,141,,,,,Apple Watch Ultra,,,,,,,
A0026,2026-05-05 2:01:26,2026-05-05T16:01:26Z,Zwift - Pacer Group Ride with Miguel,VirtualRide,FALSE,FALSE,4326,4326,38938.9,24.1955032319,145,475.7218,9.001,20.13469694,13.98,31.2724212,131.7,163,128.1,157,554.2,97.5,Zwift,,,,,,,
A0027,2026-05-04 14:46:21,2026-05-05T04:46:21Z,Night Walk,Walk,FALSE,FALSE,1600,1647,2081.6,1.2934458736,31.2,102.362208,1.301,2.91025894,2.233,4.99508702,83.6,103,,,,,Apple Watch Ultra,,,,,,,
A0028,2026-05-03 19:17:03,2026-05-04T09:17:03Z,Night Yoga,Yoga,TRUE,FALSE,1039,1039,,,0,0,0,0,0,0,62.8,76,,,,,Apple Watch Ultra,,,,,,,
A0029,2026-05-03 15:06:44,2026-05-04T05:06:44Z,Night Walk,Walk,FALSE,FALSE,1656,1705,2103.7,1.3071781727,28.4,93.175856,1.27,2.8409138,1.953,4.36874382,83.4,96,,,,,Apple Watch Ultra,,,,,,,
A0030,2026-05-03 2:07:40,2026-05-03T16:07:40Z,Morning Ride,Ride,FALSE,FALSE,9210,10836,70794.7,43.9897735337,419,1374.67196,7.687,17.19535778,16.84,37.6700696,126.5,150,137.4,149,1235.1,88,Wahoo ELEMNT BOLT,,,,,,,
A0031,2026-05-02 15:06:40,2026-05-03T05:06:40Z,Night Walk,Walk,FALSE,FALSE,1679,1706,2064,1.282509744,29,95.14436,1.229,2.74919926,2.087,4.66849378,82.9,96,,,,,Apple Watch Ultra,,,,,,,
A0032,2026-05-02 2:12:54,2026-05-02T16:12:54Z,Morning Swim,Swim,TRUE,FALSE,4618,4618,3314.7,2.0596584537,0,0,0.718,1.60612292,4.58,10.2451852,126.5,154,,,,,Apple Watch Ultra,,,,,,,
A0033,2026-05-01 15:04:43,2026-05-02T05:04:43Z,Night Walk,Walk,FALSE,FALSE,1705,1790,2073.7,1.2885370427,30.2,99.081368,1.216,2.72011904,2.35,5.256809,83.4,100,,,,,Apple Watch Ultra,,,,,,,
A0034,2026-05-01 10:04:32,2026-05-02T00:04:32Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,2503,2507,6450.8,4.0083400468,0,0,2.577,5.76459438,3.26,7.2924244,131.2,150,,,,86.5,Zwift Run,,,,,,,TRUE
A0035,2026-05-01 7:56:59,2026-05-01T21:56:59Z,Afternoon Walk,Walk,FALSE,FALSE,924,1021,1269.9,0.7890790329,61.8,202.755912,1.374,3.07355556,6.635,14.8420969,77.5,91,,,,,Apple Watch Ultra,,,,,,,
A0036,2026-05-01 2:48:47,2026-05-01T16:48:47Z,Outdoor Walk,Walk,FALSE,FALSE,938,1871,1359.5,0.8447538745,28.6,93.832024,1.449,3.24132606,2.54,5.6818276,116.9,133,,,,45.8,,,,,,,,
A0037,2026-05-01 0:09:42,2026-05-01T14:09:42Z,Morning Swim,Swim,TRUE,FALSE,2420,2420,1645.9,1.0227145289,0,0,0.68,1.5211192,4.58,10.2451852,119.8,148,,,,,Apple Watch Ultra,,,,,,,
A0038,2026-04-30 15:12:35,2026-05-01T05:12:35Z,Night Yoga,Yoga,TRUE,FALSE,904,904,,,0,0,0,0,0,0,74.2,92,,,,,Apple Watch Ultra,,,,,,,
A0039,2026-04-30 14:01:26,2026-05-01T04:01:26Z,Night Walk,Walk,FALSE,FALSE,1798,1798,2096.9,1.3029528499,27.8,91.207352,1.166,2.60827204,1.92,4.2949248,86.1,97,,,,,Apple Watch Ultra,,,,,,,
A0040,2026-04-30 7:38:42,2026-04-30T21:38:42Z,Afternoon Walk,Walk,FALSE,FALSE,902,1124,1318.3,0.8191533893,65.4,214.566936,1.462,3.27040628,3.32,7.4266408,92.5,97,,,,,Apple Watch Ultra,,,,,,,
A0041,2026-04-30 4:48:55,2026-04-30T18:48:55Z,Lunch Walk,Walk,FALSE,FALSE,942,1073,1169.7,0.7268176587,45,147.6378,1.242,2.77827948,2.34,5.2344396,105.1,123,,,,,Apple Watch Ultra,,,,,,,
A0042,2026-04-30 2:49:13,2026-04-30T16:49:13Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1094,1098,3185.9,1.9796258689,0,0,2.912,6.51396928,3.08,6.8897752,142.1,151,,,,90.3,Zwift Run,,,,,,,TRUE
A0043,2026-04-30 1:46:16,2026-04-30T15:46:16Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,3609,3609,32594.4,20.2532149224,52,170.60368,9.031,20.20180514,10.96,24.5168624,121.1,137,121,122,436.6,98.1,Zwift,,,,,,,
A0044,2026-04-29 15:56:20,2026-04-30T05:56:20Z,Night Yoga,Yoga,TRUE,FALSE,961,961,,,0,0,0,0,0,0,72,86,,,,,Apple Watch Ultra,,,,,,,
A0045,2026-04-29 14:41:09,2026-04-30T04:41:09Z,Night Walk,Walk,FALSE,FALSE,1695,1715,2067.9,1.2849330909,28.4,93.175856,1.22,2.7290668,1.987,4.44479978,85.9,103,,,,,Apple Watch Ultra,,,,,,,
A0046,2026-04-29 8:50:55,2026-04-29T22:50:55Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,3292,3304,9741.6,6.0531477336,0,0,2.959,6.61910546,3.1,6.934514,140.3,152,,,,90.1,Zwift Run,,,,,,,TRUE
A0047,2026-04-29 0:12:38,2026-04-29T14:12:38Z,Morning Swim,Swim,TRUE,FALSE,2848,2848,1920.2,1.1931565942,0,0,0.674,1.50769756,4.56,10.2004464,123.7,150,,,,,Apple Watch Ultra,,,,,,,
A0048,2026-04-28 14:33:04,2026-04-29T04:33:04Z,Night Walk,Walk,FALSE,FALSE,1590,1790,2100,1.3048791,28.4,93.175856,1.321,2.95499774,2.14,4.7870516,86,101,,,,,Apple Watch Ultra,,,,,,,
A0049,2026-04-28 12:14:23,2026-04-29T02:14:23Z,Fitbod - Kettlebell Conditioning,WeightTraining,TRUE,FALSE,1666,1666,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0050,2026-04-28 2:13:05,2026-04-28T16:13:05Z,Zwift - Pacer Group Ride with Miguel,VirtualRide,FALSE,FALSE,4432,4432,40485.2,25.1563292092,59,193.56956,9.135,20.4344469,11.34,25.3668996,116,126,115.8,117,513.1,97.9,Zwift,,,,,,,
A0051,2026-04-27 15:57:31,2026-04-28T05:57:31Z,Night Yoga,Yoga,TRUE,FALSE,1036,1036,,,0,0,0,0,0,0,66.8,82,,,,,Apple Watch Ultra,,,,,,,
A0052,2026-04-27 14:46:34,2026-04-28T04:46:34Z,Night Walk,Walk,FALSE,FALSE,1803,1850,2183.3,1.3566393043,28.6,93.832024,1.211,2.70893434,2.087,4.66849378,81.2,92,,,,,Apple Watch Ultra,,,,,,,
A0053,2026-04-27 12:12:54,2026-04-28T02:12:54Z,Fitbod - Sore in 6 mins - Chest,WeightTraining,TRUE,FALSE,538,538,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0054,2026-04-26 16:21:02,2026-04-27T06:21:02Z,Night Yoga,Yoga,TRUE,FALSE,953,953,,,0,0,0,0,0,0,65.6,90,,,,,Apple Watch Ultra,,,,,,,
A0055,2026-04-26 14:33:22,2026-04-27T04:33:22Z,Night Walk,Walk,FALSE,FALSE,1624,1624,2029.7,1.2611967187,28.6,93.832024,1.25,2.796175,2,4.47388,84.7,99,,,,,Apple Watch Ultra,,,,,,,
A0056,2026-04-26 2:30:18,2026-04-26T16:30:18Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,7159,7159,64614,40.149265794,99,324.80316,9.026,20.19062044,11.52,25.7695488,124.6,137,124.6,125,892,98.6,Zwift,,,,,,,
A0057,2026-04-25 14:48:26,2026-04-26T04:48:26Z,Night Walk,Walk,FALSE,FALSE,1699,1721,2082.8,1.2941915188,28,91.86352,1.226,2.74248844,1.996,4.46493224,87.6,102,,,,,Apple Watch Ultra,,,,,,,
A0058,2026-04-25 2:18:48,2026-04-25T16:18:48Z,Morning Swim,Swim,FALSE,FALSE,2714,2733,1784.2,1.1086501382,19.2,62.992128,0.657,1.46966958,1.7,3.802798,112.2,142,,,,,Apple Watch Ultra,,,,,,,
A0059,2026-04-24 15:02:43,2026-04-25T05:02:43Z,Night Walk,Walk,FALSE,FALSE,1693,1693,2089.5,1.2983547045,28.6,93.832024,1.234,2.76038396,1.9,4.250186,94.4,107,,,,,Apple Watch Ultra,,,,,,,
A0060,2026-04-24 10:48:25,2026-04-25T00:48:25Z,Afternoon Run,Run,FALSE,FALSE,4695,4720,13174,8.185941554,349.8,1147.637832,2.806,6.27685364,4.94,11.0504836,139.2,157,210.3,212,987.5,,Apple Watch Ultra,,,,,,,TRUE
A0061,2026-04-24 0:11:36,2026-04-24T14:11:36Z,Morning Swim,Swim,TRUE,FALSE,2861,2861,1737.4,1.0795699754,0,0,0.607,1.35782258,4.58,10.2451852,126.4,153,,,,,Apple Watch Ultra,,,,,,,
A0062,2026-04-23 14:24:25,2026-04-24T04:24:25Z,Night Walk,Walk,FALSE,FALSE,1534,1570,2064.3,1.2826961553,29,95.14436,1.346,3.01092124,2.153,4.81613182,81.7,97,,,,,Apple Watch Ultra,,,,,,,
A0063,2026-04-23 9:59:58,2026-04-23T23:59:58Z,Afternoon Walk,Walk,FALSE,FALSE,51,186,54.4,0.0338025824,0,0,1.066,2.38457804,1.42,3.1764548,,,,,,,Apple Watch Ultra,,,,,,,
A0064,2026-04-23 3:17:03,2026-04-23T17:17:03Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1089,1106,3160.5,1.9638430455,0,0,2.902,6.49159988,3.1,6.934514,142.2,150,,,,90.3,Zwift Run,,,,,,,TRUE
A0065,2026-04-23 2:19:31,2026-04-23T16:19:31Z,Zwift - Pacer Group Ride with Maria,VirtualRide,FALSE,FALSE,3297,3297,32429.4,20.1506887074,48,157.48032,9.836,22.00254184,12.36,27.6485784,133.3,144,137.1,141,452.1,97.5,Zwift,,,,,,,
A0066,2026-04-22 14:40:32,2026-04-23T04:40:32Z,Night Walk,Walk,FALSE,FALSE,1726,1756,2097.2,1.3031392612,28,91.86352,1.215,2.7178821,1.94,4.3396636,86.1,99,,,,,Apple Watch Ultra,,,,,,,
A0067,2026-04-22 10:14:32,2026-04-23T00:14:32Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,3805,3816,10489.4,6.5178089674,0,0,2.757,6.16724358,3.34,7.4713796,143.2,158,,,,86.6,Zwift Run,,,,,,,TRUE
A0068,2026-04-22 4:49:48,2026-04-22T18:49:48Z,Lunch Walk,Walk,FALSE,FALSE,915,1003,1207.9,0.7505540309,39.8,130.577432,1.32,2.9527608,3.1,6.934514,94.6,98,,,,,Apple Watch Ultra,,,,,,,
A0069,2026-04-22 0:09:15,2026-04-22T14:09:15Z,Morning Swim,Swim,TRUE,FALSE,3037,3037,2103.1,1.3068053501,0,0,0.692,1.54796248,4.58,10.2451852,123.5,150,,,,,Apple Watch Ultra,,,,,,,
A0070,2026-04-21 14:04:34,2026-04-22T04:04:34Z,Fitbod - Kettlebell Conditioning,WeightTraining,TRUE,FALSE,2456,2456,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0071,2026-04-21 2:15:13,2026-04-21T16:15:13Z,Zwift - Pacer Group Ride with Miguel,VirtualRide,FALSE,FALSE,3653,3653,32662.1,20.2952817391,104,341.20736,8.941,20.00048054,16.22,36.2831668,119.5,132,118.1,121,431.5,98.2,Zwift,,,,,,,
A0072,2026-04-20 13:06:19,2026-04-21T03:06:19Z,Fitbod - Glute Mobility protocol,WeightTraining,TRUE,FALSE,2177,2177,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0073,2026-04-20 11:51:53,2026-04-21T01:51:53Z,Fitbod - Sore in 6 mins - Chest,WeightTraining,TRUE,FALSE,459,459,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0074,2026-04-20 3:33:41,2026-04-20T17:33:41Z,Morning Walk,Walk,FALSE,FALSE,1526,1691,2069.7,1.2860515587,27.6,90.551184,1.356,3.03329064,2.247,5.02640418,87.3,102,,,,,Apple Watch Ultra,,,,,,,
A0075,2026-04-19 14:35:50,2026-04-20T04:35:50Z,Night Walk,Walk,FALSE,FALSE,1540,1607,2002.2,1.2441090162,33,108.26772,1.3,2.908022,2.107,4.71323258,84.2,104,,,,,Apple Watch Ultra,,,,,,,
A0076,2026-04-19 3:29:54,2026-04-19T17:29:54Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,7250,7250,64667.3,40.1823848683,99,324.80316,8.92,19.9535048,11.22,25.0984668,137.9,146,120.3,121,872.1,97.7,Zwift,,,,,,,
A0077,2026-04-19 0:59:53,2026-04-19T14:59:53Z,Road Race,Run,FALSE,FALSE,2951,2951,10184.8,6.3285393608,39,127.95276,3.451,7.71967994,5.14,11.4978716,159.6,172,245.9,246,725.6,,Apple Watch Ultra,,,,,,,TRUE
A0078,2026-04-18 14:23:05,2026-04-19T04:23:05Z,Night Walk,Walk,FALSE,FALSE,1518,1593,2078.1,1.2912710751,30,98.4252,1.369,3.06237086,2.227,4.98166538,91.4,106,,,,,Apple Watch Ultra,,,,,,,
A0079,2026-04-18 2:16:06,2026-04-18T16:16:06Z,Morning Swim,Swim,TRUE,FALSE,4464,4464,2788.9,1.7329415819,0,0,0.625,1.3980875,4.58,10.2451852,129.4,157,,,,,Apple Watch Ultra,,,,,,,
A0080,2026-04-17 14:28:27,2026-04-18T04:28:27Z,Night Walk,Walk,FALSE,FALSE,1630,1673,2089.6,1.2984168416,27.8,91.207352,1.282,2.86775708,2.133,4.77139302,86.2,102,,,,,Apple Watch Ultra,,,,,,,
A0081,2026-04-17 11:11:01,2026-04-18T01:11:01Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1495,1499,4045.5,2.5137563805,0,0,2.706,6.05315964,3.12,6.9792528,131.4,142,,,,86.8,Zwift Run,,,,,,,TRUE
A0082,2026-04-17 7:12:02,2026-04-17T21:12:02Z,Afternoon Walk,Walk,FALSE,FALSE,696,1141,1275.2,0.7923722992,64,209.97376,1.832,4.09807408,2.687,6.01065778,82,82,,,,,Apple Watch Ultra,,,,,,,
A0083,2026-04-17 0:06:13,2026-04-17T14:06:13Z,Morning Swim,Swim,TRUE,FALSE,2674,2674,1828.8,1.1363632848,0,0,0.684,1.53006696,4.58,10.2451852,122.4,148,,,,,Apple Watch Ultra,,,,,,,
A0084,2026-04-16 14:51:05,2026-04-17T04:51:05Z,Night Walk,Walk,FALSE,FALSE,1652,1652,2099.5,1.3045684145,30.6,100.393704,1.271,2.84315074,2.02,4.5186188,86,101,,,,,Apple Watch Ultra,,,,,,,
A0085,2026-04-16 13:42:33,2026-04-17T03:42:33Z,Fitbod - Kettlebell Conditioning,WeightTraining,TRUE,FALSE,1988,1988,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0086,2026-04-16 4:11:42,2026-04-16T18:11:42Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,1133,1140,3228.8,2.0062826848,0,0,2.85,6.375279,3,6.71082,137.4,147,,,,88.6,Zwift Run,,,,,,,TRUE
A0087,2026-04-16 3:09:49,2026-04-16T17:09:49Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,3576,3576,32611,20.263529681,52,170.60368,9.119,20.39865586,11.28,25.2326832,118.3,132,119.3,121,426.7,97.7,Zwift,,,,,,,
A0088,2026-04-15 4:51:43,2026-04-15T18:51:43Z,Lunch Walk,Walk,FALSE,FALSE,821,944,1065.9,0.6623193489,37.8,124.015752,1.298,2.90354812,3.94,8.8135436,97.9,112,,,,,Apple Watch Ultra,,,,,,,
A0089,2026-04-15 2:10:34,2026-04-15T16:10:34Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,3355,3372,9667.7,6.0072284167,0,0,2.882,6.44686108,3.08,6.8897752,138.2,152,,,,88.9,Zwift Run,,,,,,,TRUE
A0090,2026-04-15 0:11:43,2026-04-15T14:11:43Z,Morning Swim,Swim,TRUE,FALSE,2902,2902,2194.6,1.3636607966,0,0,0.756,1.69112664,4.58,10.2451852,116.6,147,,,,,Apple Watch Ultra,,,,,,,
A0091,2026-04-14 14:06:49,2026-04-15T04:06:49Z,Night Walk,Walk,FALSE,FALSE,1674,1798,2080.4,1.2927002284,30.8,101.049872,1.243,2.78051642,1.867,4.17636698,85.1,100,,,,,Apple Watch Ultra,,,,,,,
A0092,2026-04-14 12:29:21,2026-04-15T02:29:21Z,Fitbod - Glute Mobility protocol,WeightTraining,TRUE,FALSE,1539,1539,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
